component,pr_auc_alpha,pr_auc_negative_alpha,best_orientation,best_pr_auc,baseline_positive_rate,best_pr_auc_minus_baseline
PC1,0.23212733653149098,0.1757224583191515,alpha,0.23212733653149098,0.199479618386817,0.03264771814467399
PC2,0.18138720010991058,0.229193760035718,-alpha,0.229193760035718,0.199479618386817,0.029714141648901016
PC3,0.15522609655173278,0.2818487501172283,-alpha,0.2818487501172283,0.199479618386817,0.08236913173041133
PC4,0.149609612557826,0.33431906026174346,-alpha,0.33431906026174346,0.199479618386817,0.13483944187492647
