SerialNumber,y_debt,PC1_score_raw,PC1_score_oriented,PC2_score_raw,PC2_score_oriented,PC3_score_raw,PC3_score_oriented,PC4_score_raw,PC4_score_oriented
1,0,-8.195127535859188,-8.195127535859188,2.5554142750464712,-2.5554142750464712,0.005623735526205189,-0.005623735526205189,-2.710494815002971,2.710494815002971
2,0,2.4908487341842496,2.4908487341842496,-2.838393336942538,2.838393336942538,5.703866513615773,-5.703866513615773,-4.244048443944445,4.244048443944445
3,0,-4.41677313689828,-4.41677313689828,6.441868200211127,-6.441868200211127,-1.3509618994179766,1.3509618994179766,0.6917087794963439,-0.6917087794963439
4,0,-5.39963169085025,-5.39963169085025,1.3037188878004342,-1.3037188878004342,-2.5997146667147946,2.5997146667147946,-3.6815642016018857,3.6815642016018857
5,0,-8.675514587139263,-8.675514587139263,3.3782190324802572,-3.3782190324802572,-3.419525373788002,3.419525373788002,-1.5075702114283567,1.5075702114283567
6,0,0.8438279970174477,0.8438279970174477,-1.482851726021281,1.482851726021281,4.169609238536754,-4.169609238536754,-2.75779409904678,2.75779409904678
7,0,-6.185226987114942,-6.185226987114942,3.5405071940782156,-3.5405071940782156,-2.747143102210915,2.747143102210915,-2.1046969591660787,2.1046969591660787
8,0,-7.064670739639029,-7.064670739639029,0.8885282407263471,-0.8885282407263471,-3.02930143397049,3.02930143397049,-4.179972461505032,4.179972461505032
9,0,-4.071494419686749,-4.071494419686749,2.6079749101140264,-2.6079749101140264,-2.7187706822422726,2.7187706822422726,-4.675571233744189,4.675571233744189
10,0,-6.469345787242034,-6.469345787242034,2.9616392238338287,-2.9616392238338287,2.9190588544718175,-2.9190588544718175,2.413439727616677,-2.413439727616677
11,0,-7.7131399025934995,-7.7131399025934995,4.74836086163136,-4.74836086163136,2.5197970249402073,-2.5197970249402073,2.925085090793759,-2.925085090793759
12,0,-6.927174088434352,-6.927174088434352,3.427586840085973,-3.427586840085973,3.217615926497508,-3.217615926497508,1.5285283280860422,-1.5285283280860422
13,0,-6.641733693958097,-6.641733693958097,3.172612914342113,-3.172612914342113,1.0748773847285769,-1.0748773847285769,3.9257606358072286,-3.9257606358072286
14,0,-9.898494124564483,-9.898494124564483,3.218339311223376,-3.218339311223376,-3.1587369862159846,3.1587369862159846,-1.2990402870085334,1.2990402870085334
