mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__C,param_clf__threshold,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model,feature_set,param_clf__estimator__n_neighbors,param_kernel__gamma
0.06602587699890136,0.010797777942221878,0.015837335586547853,0.002442742507295704,0.1,0.5,"{'clf__estimator__C': 0.1, 'clf__threshold': 0.5, 'kernel__gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kernel_logistic_rbf,lasso_top15,,0.01
0.0698777675628662,0.0187184103189455,0.015525627136230468,0.0042036787129546395,0.1,0.5,"{'clf__estimator__C': 0.1, 'clf__threshold': 0.5, 'kernel__gamma': 0.02}",0.0,0.0,0.0,0.06451612903225806,0.0,0.012903225806451613,0.025806451612903226,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kernel_logistic_rbf,lasso_top15,,0.02
0.0580291748046875,0.010829980281286353,0.019794607162475587,0.0051004382351522385,0.1,0.5,"{'clf__estimator__C': 0.1, 'clf__threshold': 0.5, 'kernel__gamma': 0.05}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kernel_logistic_rbf,lasso_top15,,0.05
0.05445575714111328,0.011575267495047328,0.021738767623901367,0.006032648851582548,0.1,0.55,"{'clf__estimator__C': 0.1, 'clf__threshold': 0.55, 'kernel__gamma': 0.005}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kernel_logistic_rbf,lasso_top15,,0.005
0.06596250534057617,0.011452802517324298,0.015909337997436525,0.0015390177243683586,0.1,0.55,"{'clf__estimator__C': 0.1, 'clf__threshold': 0.55, 'kernel__gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kernel_logistic_rbf,lasso_top15,,0.01
0.056921863555908205,0.010426920464948124,0.015655994415283203,0.005511406943991283,0.1,0.55,"{'clf__estimator__C': 0.1, 'clf__threshold': 0.55, 'kernel__gamma': 0.02}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kernel_logistic_rbf,lasso_top15,,0.02
0.06966657638549804,0.013000403172429587,0.02043576240539551,0.004456416542026793,0.1,0.55,"{'clf__estimator__C': 0.1, 'clf__threshold': 0.55, 'kernel__gamma': 0.05}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kernel_logistic_rbf,lasso_top15,,0.05
0.07120332717895508,0.023231677327501688,0.017384815216064452,0.004573453410811694,0.1,0.6,"{'clf__estimator__C': 0.1, 'clf__threshold': 0.6, 'kernel__gamma': 0.005}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kernel_logistic_rbf,lasso_top15,,0.005
0.10346841812133789,0.025541551904146812,0.023154258728027344,0.010055889201338323,0.1,0.6,"{'clf__estimator__C': 0.1, 'clf__threshold': 0.6, 'kernel__gamma': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kernel_logistic_rbf,lasso_top15,,0.01
0.10932602882385253,0.007115760396770167,0.026828622817993163,0.005268930860168672,0.1,0.6,"{'clf__estimator__C': 0.1, 'clf__threshold': 0.6, 'kernel__gamma': 0.02}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kernel_logistic_rbf,lasso_top15,,0.02
