component,eigenvalue,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,29.92947621106147,0.07102973466953462,0.07102973466953462
PC2,23.159321494750852,0.05496255428254493,0.12599228895207953
PC3,14.200668995107172,0.03370155039597922,0.15969383934805875
PC4,13.57248939176882,0.03221073143759578,0.19190457078565454
